Rok,"Příjmení, jméno",Titul,Věk,Navrh.strana,Polit.přísl.,Pocet hlasu lidi,Pocet hlasu v %,Pořadí kand.,Pořadí zvoleni,Mandát
2018,Fric Karolina,Ing.,29,ČSSD,ČSSD,3032,2.14,16,19,-
2018,Friedrichová Gabriela,MUDr.,40,NK,BEZPP,2226,2.11,0,13,-
2018,Fritzová Marie,Mgr.,32,KDU-ČSL,KDU-ČSL,3089,2.14,9,13,-
2018,Froněk Pavel, ,52,OPAT,BEZPP,1841,2.29,0,16,-
2018,Fryč Pavel, ,27,Piráti,BEZPP,5342,2.07,29,36,-
2018,Fuchsová Radka,MUDr.,47,NK,BEZPP,2844,1.97,34,38,-
2018,Funda Karel, ,33,Piráti,BEZPP,5234,2.03,33,40,-
2018,Gola Vlastimil,Ing.,61,ANO,ANO,10619,2.17,4,4,*
2018,Götz Karel,Mgr.,53,NK,BEZPP,2115,2.0,0,38,-
2018,Gut Jiří, ,72,SPD,SPD,2320,2.13,0,16,-
2018,Habruň Marek,Ing.,29,Piráti,Piráti,5631,2.18,5,12,-
2018,Hagara František, ,30,Piráti,Piráti,5594,2.17,3,10,-
2018,Hájek Marcel,MUDr.,53,ODS,ODS,10875,2.23,1,14,-
2018,Hájek Petr, ,35,KSČM,KSČM,2776,2.23,2,5,-
2018,Hájková Jiřina, ,63,SPD,SPD,2332,2.14,0,14,-
2018,Hájková Kateřina,Mgr.,24,Piráti,BEZPP,5451,2.11,17,24,-
2018,Halová Marie, ,65,SPD,BEZPP,2233,2.05,0,42,-
2018,Hammerová Marcela, ,53,SPD,BEZPP,2241,2.05,0,41,-
2018,Hanousek Jiří,Ing.,43,Piráti,BEZPP,5632,2.18,10,17,-
2018,Hausner Michal, ,37,ANO,ANO,10614,2.17,6,6,*
2018,Havel Jan, ,46,TOP 09,TOP 09,3086,2.05,24,28,-
2018,Havel Ladislav, ,38,Monarchiste.cz,BEZPP,262,1.94,0,28,-
2018,Havíř František,Ing.,54,OPAT,BEZPP,1651,2.05,0,41,-
2018,Hegner Lukáš,Mgr.,36,ODS,ODS,10513,2.16,9,8,*
2018,Hein Patrik, ,46,Soukromníci,BEZPP,174,2.03,0,18,-
2018,Hejdová Andrea,Ing.,45,TOP 09,TOP 09,3141,2.09,17,21,-
2018,Hejtmánek Tomáš,Ing.,31,ANO,ANO,10364,2.12,18,31,-
2018,Helísek Zdeněk,RSDr.,65,KSČM,KSČM,2554,2.05,38,41,-
2018,Hellerová Dagmar,MUDr.,64,Soukromníci,BEZPP,178,2.08,0,19,-
2018,Hemrová Lucie,Mgr.,36,TOP 09,Zelení,3291,2.19,9,12,-
2018,Hendrychová Ivana,Ing.,64,NK,BEZPP,397,2.05,0,20,-
2018,Herinková Eva,Bc.,53,ČSSD,ČSSD,3467,2.45,2,5,*
2018,Heřman Václav, ,44,KSČM,KSČM,2706,2.18,9,12,-
2018,Hesová Sandra,Ing.,32,TOP 09,TOP 09,2955,1.96,35,39,-
2018,Hessová Jaroslava,Mgr.,60,ČSSD,ČSSD,3049,2.16,15,18,-
2018,Hirschová Vladimíra,Mgr.,54,ODS,ODS,9843,2.02,29,42,-
2018,Hlad Radek,Mgr.,39,ANO,ANO,10453,2.14,12,25,-
2018,Hlásek František, ,59,KSČM,KSČM,2792,2.25,3,3,*
2018,Hlaváček Jan, ,41,ODS,ODS,10264,2.11,15,28,-
2018,Hoblová Alena, ,67,Soukromníci,BEZPP,149,1.74,0,39,-
2018,Hodek Jaroslav,MUDr.,77,NPJS,BEZPP,1222,2.01,0,39,-
2018,Hodková Jaroslava,MUDr.,72,NPJS,BEZPP,1229,2.02,0,27,-
2018,Hógel Josef,Ing.,74,ODS,ODS,10243,2.1,16,29,-
2018,Hojerová Jaroslava, ,53,SPD,SPD,2438,2.23,0,4,-
2018,Holcová Renáta, ,21,ODS,ODS,10160,2.08,21,34,-
2018,Holub Rudolf, ,54,BPI,BEZPP,214,2.02,0,41,-
2018,Holý Martin,JUDr.,32,ANO,ANO,10493,2.14,11,24,-
2018,Holý Michal, ,28,PRO Zdraví,PRO Zdraví,2129,2.02,0,36,-
2018,Holzman Martin, ,19,Piráti,Piráti,5565,2.16,6,13,-
